"actor_id","actors_name","string_to_array"
1,"Penelope Guiness","{""Comedy : 1"",""New : 2"",""Classics : 2"",""Family : 2"",""Sci-Fi : 1"",""Horror : 3"",""Documentary : 1"",""Animation : 1"",""Children : 1"",""Music : 1"",""Games : 2"",""Foreign : 1"",""Sports : 1""}"
2,"Nick Wahlberg","{""Animation : 1"",""Children : 1"",""Games : 1"",""Drama : 1"",""Music : 1"",""Family : 4"",""Classics : 2"",""Documentary : 1"",""Action : 1"",""Foreign : 2"",""Travel : 2"",""Comedy : 2"",""Sci-Fi : 2"",""New : 4""}"
3,"Ed Chase","{""New : 2"",""Travel : 1"",""Classics : 2"",""Music : 1"",""Drama : 3"",""Action : 2"",""Documentary : 6"",""Sci-Fi : 1"",""Foreign : 2"",""Sports : 2""}"
4,"Jennifer Davis","{""Travel : 1"",""Horror : 1"",""Music : 2"",""Sports : 2"",""Comedy : 1"",""Sci-Fi : 3"",""Drama : 2"",""Family : 1"",""Documentary : 3"",""New : 3"",""Action : 1"",""Animation : 2""}"
5,"Johnny Lollobrigida","{""Games : 1"",""Horror : 3"",""Animation : 1"",""Sci-Fi : 3"",""Drama : 2"",""Action : 3"",""Travel : 3"",""Documentary : 4"",""New : 2"",""Music : 2"",""Children : 1"",""Comedy : 1"",""Sports : 3""}"
6,"Bette Nicholson","{""Foreign : 2"",""Classics : 1"",""Family : 1"",""Travel : 2"",""Documentary : 1"",""Sports : "",""5Action : 1"",""Sci-Fi : 1"",""Animation : 4"",""New : 1"",""Children : 1""}"
7,"Grace Mostel","{""Sci-Fi : 1"",""Animation : 2"",""Classics : 2"",""Action : 2"",""Horror : 2"",""Games : 1"",""Drama : 7"",""New : 4"",""Sports : 3"",""Children : 1"",""Foreign : 5""}"
8,"Matthew Johansson","{""Music : 4"",""Sports : 2"",""New : 1"",""Sci-Fi : 1"",""Foreign : 2"",""Drama : 3"",""Action : 2"",""Family : 1"",""Classics : 3"",""Animation : 1""}"
9,"Joe Swank","{""Classics : 1"",""Travel : 3"",""Games : 1"",""Foreign : 1"",""Documentary : 3"",""Family : 1"",""Animation : 2"",""Action : 2"",""Drama : 2"",""Sports : 1"",""Music : 2"",""Children : 3"",""Horror : 2"",""New : 1""}"
10,"Christian Gable","{""Comedy : 1"",""Sports : 1"",""Games : 1"",""Animation : 1"",""Foreign : 1"",""Documentary : 3"",""Classics : 2"",""Drama : 1"",""Children : 1"",""Sci-Fi : 1"",""Action : 2"",""Music : 3"",""New : 1"",""Travel : 1"",""Horror : 2""}"
11,"Zero Cage","{""Music : 1"",""Animation : 2"",""Action : 3"",""Children : 3"",""Travel : 1"",""Comedy : 1"",""Family : 1"",""Horror : 1"",""Games : 2"",""Drama : 2"",""Documentary : 2"",""Sports : 3"",""Foreign : 1"",""New : 2""}"
12,"Karl Berry","{""Comedy : 2"",""Animation : 3"",""Children : 1"",""Foreign : 2"",""New : 3"",""Family : 1"",""Drama : 2"",""Sci-Fi : 1"",""Horror : 4"",""Sports : 2"",""Documentary : 4"",""Action : 1"",""Travel : 1"",""Music : 2"",""Classics : 2""}"
13,"Uma Wood","{""Classics : 2"",""Horror : 2"",""Children : 4"",""Sci-Fi : 2"",""Travel : 2"",""Music : 2"",""Foreign : 1"",""Documentary : 3"",""Family : 2"",""Games : 2"",""Action : 2"",""New : 2"",""Animation : 3"",""Drama : 1"",""Comedy : 3"",""Sports : 2""}"
14,"Vivien Bergen","{""New : 3"",""Children : 2"",""Action : 3"",""Travel : 1"",""Horror : "",""5Drama : 1"",""Music : 3"",""Classics : 3"",""Games : 2"",""Foreign : 1"",""Sports : 4"",""Animation : 2""}"
15,"Cuba Olivier","{""Family : 2"",""Action : 2"",""Children : 3"",""Classics : 2"",""Travel : 3"",""Sports : 1"",""Games : 2"",""Animation : 4"",""Horror : 1"",""Foreign : 2"",""Comedy : 1"",""Sci-Fi : 3"",""New : 2""}"
16,"Fred Costner","{""Games : 1"",""Travel : 1"",""Action : 3"",""Animation : "",""5Children : 1"",""Family : 3"",""Sports : 3"",""New : 2"",""Classics : 1"",""Documentary : 2"",""Foreign : 1"",""Drama : 2"",""Sci-Fi : 2""}"
17,"Helen Voight","{""Documentary : 3"",""Animation : 2"",""Music : 1"",""Drama : 1"",""Foreign : 4"",""New : 2"",""Family : 1"",""Classics : 2"",""Sports : 1"",""Comedy : 3"",""Children : 7"",""Action : 1"",""Horror : 2"",""Games : 2""}"
18,"Dan Torn","{""Travel : 2"",""Animation : 1"",""Classics : 3"",""Drama : 2"",""New : 3"",""Action : 1"",""Foreign : 1"",""Sci-Fi : 2"",""Music : 1"",""Children : 2"",""Sports : 3"",""Games : 1""}"
19,"Bob Fawcett","{""Animation : 3"",""Children : 1"",""Documentary : 2"",""Comedy : 3"",""Games : 1"",""Horror : 1"",""Travel : 2"",""Family : 1"",""Music : 3"",""Sci-Fi : 1"",""Action : 1"",""Classics : 1"",""Drama : 2"",""New : 3""}"
20,"Lucille Tracy","{""Horror : 1"",""New : 2"",""Action : 1"",""Music : 1"",""Comedy : 1"",""Classics : 4"",""Travel : 2"",""Animation : 1"",""Foreign : 1"",""Family : "",""5Drama : 3"",""Documentary : 4"",""Sci-Fi : 4""}"
21,"Kirsten Paltrow","{""Sports : 2"",""Family : 1"",""Documentary : 3"",""Drama : 1"",""Horror : 2"",""New : 3"",""Travel : 2"",""Music : 3"",""Comedy : 2"",""Foreign : 1"",""Sci-Fi : 2"",""Games : 2"",""Action : 2"",""Animation : 1""}"
22,"Elvis Marx","{""Drama : 3"",""Children : 2"",""Animation : 4"",""Horror : 3"",""Action : 4"",""Travel : 2"",""Sports : 1"",""Games : 2"",""Classics : 2"",""Family : 1"",""Sci-Fi : 2""}"
23,"Sandra Kilmer","{""New : 2"",""Games : 2"",""Travel : 3"",""Animation : 3"",""Drama : 1"",""Documentary : 1"",""Action : 3"",""Children : 4"",""Family : 1"",""Sci-Fi : 3"",""Music : 3"",""Foreign : 3"",""Classics : 2"",""Horror : 2"",""Sports : 4""}"
24,"Cameron Streep","{""Drama : 2"",""Horror : 2"",""Family : 4"",""Comedy : 4"",""Games : 1"",""Action : 2"",""Foreign : 2"",""Documentary : 3"",""Children : 1"",""Sports : 2"",""Travel : 1""}"
25,"Kevin Bloom","{""Drama : 2"",""Sports : 2"",""Children : 2"",""Comedy : 2"",""Foreign : 1"",""Travel : 1"",""Animation : 3"",""Sci-Fi : 1"",""New : 2"",""Music : 2"",""Action : 2"",""Family : 1""}"
26,"Rip Crawford","{""Sci-Fi : 1"",""Animation : 3"",""Documentary : 1"",""Children : 2"",""Sports : 1"",""New : 4"",""Comedy : 2"",""Horror : 4"",""Action : 4"",""Travel : 1"",""Foreign : 2"",""Drama : 3"",""Family : 5""}"
27,"Julia Mcqueen","{""Children : 2"",""Sports : 1"",""Travel : 1"",""Animation : 3"",""Foreign : 1"",""Drama : 2"",""Music : 4"",""Family : "",""5Documentary : 3"",""Sci-Fi : 2"",""Horror : 7"",""Action : 2""}"
28,"Woody Hoffman","{""Music : 2"",""Sports : 3"",""New : 3"",""Action : 3"",""Family : 2"",""Classics : 3"",""Games : 3"",""Sci-Fi : 1"",""Animation : 4"",""Documentary : 2"",""Comedy : 1"",""Drama : 3"",""Foreign : 1""}"
